NO,NAMA RUMAH,HARGA,Luas bangunan,Luas tanah,Kamar tidur,Kamar mandi,Kapasitas mobil dalam garasi
483,Rumah Mewah di Tenet,8300000000,260,306,4,3,1
484,TERJUAL TEBET Rumah Terawat Siap Huni Dekat dari Jalan Besar,2990000000,162,156,5,4,2
485,TEBET Rumah Siap Huni Buatan Arsitek,3200000000,160,90,3,3,2
486,TEBET Rumah Siap Huni Buatan Arsitek,2800000000,150,90,4,3,2
487,Rumah Di Tebet Lokasi Strategis,7500000000,350,250,5,4,1
488,Rumah di Tebet Hanya 200 m dari MT Haryono,6000000000,295,352,6,4,5
489,Rumah Di Tebet Lingkungan Mewah Dan Akses Mudah,13500000000,400,430,9,4,4
490,Rumah Nyaman Asambaris Tebet,5000000000,320,150,7,6,2
491,"Rumah Dijual 2 lantai, kebon baru Tebet Jak sel",6800000000,500,428,6,4,5
492,"Rumah tebet timur jakarta selatan. cozy style modern mini custler 4, 6M",4600000000,176,137,5,4,2
493,Di Jual Rumah Second Lokasi Strategis Tebet Jakarta Selatan,7000000000,300,182,4,3,2
494,"Tebet rumah modern classic, jakarta selatan",3500000000,400,150,5,4,2
495,"Rumah tebet dalam, jalan 3 mobil, lingkungan tenang, nego",35000000000,1000,1400,10,7,7
